ID;Nome;Tipo;Progresso;Data de Criacao;Prazo;Data de Conclusao;CPF;E-mail;Data de Nascimento
101500;Maria Severina;Acesso;Completa;01/04/2024;16/04/2024;07/04/2024;17800904;mseverina@gmail.com;09/01/2000
101501;Elaine De Melo;Eliminacao;Completa;01/04/2024;16/04/2024;07/04/2024;17800914;elainem02@gmail.com;03/08/2002
101502;Diego Dos Santos;Retificacao;Completa;01/04/2024;16/04/2024;07/04/2024;17800915;dsantos@gmail.com;19/04/1996
101503;Arthur Dias;Oposicao;Completa;01/04/2024;16/04/2024;07/04/2024;17800922;arthurdias90@gmail.com;02/12/1990
101504;Debora Lohane;Eliminacao;Completa;02/04/2024;17/04/2024;07/04/2024;17800928;dlohane21@gmail.com;21/07/1995
101505;Everton Souza;Retificacao;Completa;02/04/2024;17/04/2024;08/04/2024;17800933;99evertonssouza@gmail.com;22/08/1999
101506;Ze Rafael ;Retificacao;Completa;02/04/2024;17/04/2024;09/04/2024;17800939;zerafael@gmail.com;09/02/1993
101507;Matheus Leandro;Acesso;Completa;02/04/2024;17/04/2024;09/04/2024;17800944;mleandro@gmail.com;12/08/2001
101508;Marcelo Davis;Retificacao;Completa;02/04/2024;17/04/2024;09/04/2024;17800950;davismarcelo@gmail.com;19/04/1996
101509;Deivid De Paula;Oposicao;Completa;02/04/2024;17/04/2024;09/04/2024;17800955;deividepaula@gmail.com;29/02/1989
101510;Milena De Vasconcelos;Acesso;Completa;02/04/2024;17/04/2024;10/04/2024;17800961;vascmilena@gmail.com;14/10/2003
101511;Gabriel Pereira;Retificacao;Completa;02/04/2024;17/04/2024;11/04/2024;17800966;pereiragbiel@gmail.com;12/11/2005
101512;Giovana Castanho;Acesso;Completa;03/04/2024;18/04/2024;12/04/2024;17800972;gicastanho@gmail.com;13/12/1992
101513;Jessica Figueiredo;Acesso;Completa;03/04/2024;18/04/2024;13/04/2024;17800977;jefigueiredo@gmail.com;02/02/2002
101514;Marcos De Paula;Retificacao;Completa;03/04/2024;18/04/2024;14/04/2024;17800983;depaula@gmail.com;09/01/2000
101515;Murilo De Cezar;Oposicao;Completa;03/04/2024;18/04/2024;14/04/2024;17800988;mudecezar@gmail.com;03/12/1998
101516;Marcos Dalcin;Acesso;Completa;04/04/2024;19/04/2024;14/04/2024;17800994;mdalcin@gmail.com;02/11/2001
101517;Joao Lira;Retificacao;Completa;04/04/2024;19/04/2024;14/04/2024;17800999;j12lira@gmail.com;12/08/2001
101518;Pedro Moscardo;Eliminacao;Completa;04/04/2024;19/04/2024;14/04/2024;17801005;pmoscardo@gmail.com;14/05/1998
101519;Isabela Santos;Acesso;Completa;04/04/2024;19/04/2024;14/04/2024;17801010;isasantos@gmail.com;02/02/2002
101520;Lucas Pereira;Retificacao;Completa;04/04/2024;19/04/2024;14/04/2024;17801016;lpereira@gmail.com;13/07/2003
101521;Paulo Augusto;Acesso;Completa;04/04/2024;19/04/2024;14/04/2024;17801021;paugusto@gmail.com;01/01/1994
101522;Francisco Melo;Oposicao;Completa;04/04/2024;19/04/2024;14/04/2024;17801027;fchicomelo@gmail.com;09/01/2000
101523;Tiago Alberto;Acesso;Completa;04/04/2024;19/04/2024;14/04/2024;17801032;tialberto@gmail.com;06/06/2005
101524;Sofia Silva;Acesso;Completa;04/04/2024;19/04/2024;14/04/2024;17801038;sofisilva@gmail.com;01/01/1994
101525;Gabriel Oliveira;Oposicao;Completa;05/04/2024;20/04/2024;14/04/2024;17801043;goliveira@gmail.com;01/01/2006
101526;Julia Costa;Oposicao;Completa;06/04/2024;21/04/2024;14/04/2024;17801049;jucosta@gmail.com;02/12/1990
101527;Mateus Rodrigues;Eliminacao;Completa;07/04/2024;22/04/2024;14/04/2024;17801054;mateusrodri@gmail.com;23/07/1997
101528;Laura Almeida;Acesso;Completa;07/04/2024;22/04/2024;15/04/2024;17801060;lalmeida@gmail.com;28/07/2000
101529;Pedro Ferreira;Acesso;Completa;07/04/2024;22/04/2024;15/04/2024;17801065;pedroferreira@gmail.com;19/04/1996
101530;Maria Lima;Retificacao;Completa;08/04/2024;23/04/2024;15/04/2024;17801071;marialima@gmail.com;12/12/2002
101531;Leonardo Carvalho;Acesso;Completa;08/04/2024;23/04/2024;15/04/2024;17801076;leocarvalho@gmail.com;09/11/1995
101532;Giovanna Souza;Eliminacao;Completa;08/04/2024;23/04/2024;15/04/2024;17801082;gisouza@gmail.com;12/08/2001
101533;Guilherme Martins;Acesso;Completa;08/04/2024;23/04/2024;15/04/2024;17801087;guimartins@gmail.com;05/08/2005
101534;Ana Paula;Oposicao;Completa;08/04/2024;23/04/2024;15/04/2024;17801093;anapaula@gmail.com;12/11/1996
101535;Rafael Barbosa;Acesso;Completa;08/04/2024;23/04/2024;16/04/2024;17801098;rafabarbosa@gmail.com;02/12/1990
101536;Manuela Castro;Acesso;Completa;09/04/2024;24/04/2024;17/04/2024;17801104;manucastro@gmail.com;05/12/2001
101537;Enzo Nunes;Oposicao;Completa;09/04/2024;24/04/2024;18/04/2024;17801109;enzonunes@gmail.com;05/03/2000
